observed_pair_index,split,partition
648,cold_drug,train
649,cold_drug,train
650,cold_drug,train
651,cold_drug,train
652,cold_drug,train
653,cold_drug,train
654,cold_drug,train
655,cold_drug,train
656,cold_drug,train
657,cold_drug,train
658,cold_drug,train
659,cold_drug,train
660,cold_drug,train
661,cold_drug,train
662,cold_drug,train
663,cold_drug,train
664,cold_drug,train
665,cold_drug,train
666,cold_drug,train
667,cold_drug,train
668,cold_drug,train
669,cold_drug,train
670,cold_drug,train
671,cold_drug,train
672,cold_drug,train
673,cold_drug,train
674,cold_drug,train
675,cold_drug,train
676,cold_drug,train
677,cold_drug,train
678,cold_drug,train
679,cold_drug,train
680,cold_drug,train
681,cold_drug,train
682,cold_drug,train
683,cold_drug,train
684,cold_drug,train
685,cold_drug,train
686,cold_drug,train
687,cold_drug,train
688,cold_drug,train
689,cold_drug,train
690,cold_drug,train
691,cold_drug,train
692,cold_drug,train
693,cold_drug,train
694,cold_drug,train
695,cold_drug,train
696,cold_drug,train
697,cold_drug,train
698,cold_drug,train
699,cold_drug,train
700,cold_drug,train
701,cold_drug,train
702,cold_drug,train
703,cold_drug,train
704,cold_drug,train
705,cold_drug,train
706,cold_drug,train
707,cold_drug,train
708,cold_drug,train
709,cold_drug,train
710,cold_drug,train
711,cold_drug,train
712,cold_drug,train
713,cold_drug,train
714,cold_drug,train
715,cold_drug,train
716,cold_drug,train
717,cold_drug,train
718,cold_drug,train
719,cold_drug,train
720,cold_drug,train
721,cold_drug,train
722,cold_drug,train
723,cold_drug,train
724,cold_drug,train
725,cold_drug,train
726,cold_drug,train
727,cold_drug,train
728,cold_drug,train
729,cold_drug,train
730,cold_drug,train
731,cold_drug,train
732,cold_drug,train
733,cold_drug,train
734,cold_drug,train
735,cold_drug,train
736,cold_drug,train
737,cold_drug,train
738,cold_drug,train
739,cold_drug,train
740,cold_drug,train
741,cold_drug,train
742,cold_drug,train
743,cold_drug,train
744,cold_drug,train
745,cold_drug,train
746,cold_drug,train
747,cold_drug,train
748,cold_drug,train
749,cold_drug,train
750,cold_drug,train
751,cold_drug,train
752,cold_drug,train
753,cold_drug,train
754,cold_drug,train
755,cold_drug,train
756,cold_drug,train
757,cold_drug,train
758,cold_drug,train
759,cold_drug,train
760,cold_drug,train
761,cold_drug,train
762,cold_drug,train
763,cold_drug,train
764,cold_drug,train
765,cold_drug,train
766,cold_drug,train
767,cold_drug,train
768,cold_drug,train
769,cold_drug,train
770,cold_drug,train
771,cold_drug,train
772,cold_drug,train
773,cold_drug,train
774,cold_drug,train
775,cold_drug,train
776,cold_drug,train
777,cold_drug,train
778,cold_drug,train
779,cold_drug,train
780,cold_drug,train
781,cold_drug,train
782,cold_drug,train
783,cold_drug,train
784,cold_drug,train
785,cold_drug,train
786,cold_drug,train
787,cold_drug,train
788,cold_drug,train
789,cold_drug,train
790,cold_drug,train
791,cold_drug,train
792,cold_drug,train
793,cold_drug,train
794,cold_drug,train
795,cold_drug,train
796,cold_drug,train
797,cold_drug,train
798,cold_drug,train
799,cold_drug,train
800,cold_drug,train
801,cold_drug,train
802,cold_drug,train
803,cold_drug,train
804,cold_drug,train
805,cold_drug,train
806,cold_drug,train
807,cold_drug,train
808,cold_drug,train
809,cold_drug,train
810,cold_drug,train
811,cold_drug,train
812,cold_drug,train
813,cold_drug,train
814,cold_drug,train
815,cold_drug,train
816,cold_drug,train
817,cold_drug,train
818,cold_drug,train
819,cold_drug,train
820,cold_drug,train
821,cold_drug,train
822,cold_drug,train
823,cold_drug,train
824,cold_drug,train
825,cold_drug,train
826,cold_drug,train
827,cold_drug,train
828,cold_drug,train
829,cold_drug,train
830,cold_drug,train
831,cold_drug,train
832,cold_drug,train
833,cold_drug,train
834,cold_drug,train
835,cold_drug,train
836,cold_drug,train
837,cold_drug,train
838,cold_drug,train
839,cold_drug,train
840,cold_drug,train
841,cold_drug,train
842,cold_drug,train
843,cold_drug,train
844,cold_drug,train
845,cold_drug,train
846,cold_drug,train
847,cold_drug,train
848,cold_drug,train
849,cold_drug,train
850,cold_drug,train
851,cold_drug,train
852,cold_drug,train
853,cold_drug,train
854,cold_drug,train
855,cold_drug,train
856,cold_drug,train
857,cold_drug,train
858,cold_drug,train
859,cold_drug,train
860,cold_drug,train
861,cold_drug,train
862,cold_drug,train
863,cold_drug,train
864,cold_drug,train
865,cold_drug,train
866,cold_drug,train
867,cold_drug,train
868,cold_drug,train
869,cold_drug,train
870,cold_drug,train
871,cold_drug,train
872,cold_drug,train
873,cold_drug,train
874,cold_drug,train
875,cold_drug,train
876,cold_drug,train
877,cold_drug,train
878,cold_drug,train
879,cold_drug,train
880,cold_drug,train
881,cold_drug,train
882,cold_drug,train
883,cold_drug,train
884,cold_drug,train
885,cold_drug,train
886,cold_drug,train
887,cold_drug,train
888,cold_drug,train
889,cold_drug,train
890,cold_drug,train
891,cold_drug,train
892,cold_drug,train
893,cold_drug,train
894,cold_drug,train
895,cold_drug,train
896,cold_drug,train
897,cold_drug,train
898,cold_drug,train
899,cold_drug,train
900,cold_drug,train
901,cold_drug,train
902,cold_drug,train
903,cold_drug,train
904,cold_drug,train
905,cold_drug,train
906,cold_drug,train
907,cold_drug,train
908,cold_drug,train
909,cold_drug,train
910,cold_drug,train
911,cold_drug,train
912,cold_drug,train
913,cold_drug,train
914,cold_drug,train
915,cold_drug,train
916,cold_drug,train
917,cold_drug,train
918,cold_drug,train
919,cold_drug,train
920,cold_drug,train
921,cold_drug,train
922,cold_drug,train
923,cold_drug,train
924,cold_drug,train
925,cold_drug,train
926,cold_drug,train
927,cold_drug,train
928,cold_drug,train
929,cold_drug,train
930,cold_drug,train
931,cold_drug,train
932,cold_drug,train
933,cold_drug,train
934,cold_drug,train
935,cold_drug,train
936,cold_drug,train
937,cold_drug,train
938,cold_drug,train
939,cold_drug,train
940,cold_drug,train
941,cold_drug,train
942,cold_drug,train
943,cold_drug,train
944,cold_drug,train
945,cold_drug,train
946,cold_drug,train
947,cold_drug,train
948,cold_drug,train
949,cold_drug,train
950,cold_drug,train
951,cold_drug,train
952,cold_drug,train
953,cold_drug,train
954,cold_drug,train
955,cold_drug,train
956,cold_drug,train
957,cold_drug,train
958,cold_drug,train
959,cold_drug,train
960,cold_drug,train
961,cold_drug,train
962,cold_drug,train
963,cold_drug,train
964,cold_drug,train
965,cold_drug,train
966,cold_drug,train
967,cold_drug,train
968,cold_drug,train
969,cold_drug,train
970,cold_drug,train
971,cold_drug,train
972,cold_drug,train
973,cold_drug,train
974,cold_drug,train
975,cold_drug,train
976,cold_drug,train
977,cold_drug,train
978,cold_drug,train
979,cold_drug,train
980,cold_drug,train
981,cold_drug,train
982,cold_drug,train
983,cold_drug,train
984,cold_drug,train
985,cold_drug,train
986,cold_drug,train
987,cold_drug,train
988,cold_drug,train
989,cold_drug,train
990,cold_drug,train
991,cold_drug,train
992,cold_drug,train
993,cold_drug,train
994,cold_drug,train
995,cold_drug,train
996,cold_drug,train
997,cold_drug,train
998,cold_drug,train
999,cold_drug,train
1000,cold_drug,train
1001,cold_drug,train
1002,cold_drug,train
1003,cold_drug,train
1004,cold_drug,train
1005,cold_drug,train
1006,cold_drug,train
1007,cold_drug,train
1008,cold_drug,train
1009,cold_drug,train
1010,cold_drug,train
1011,cold_drug,train
1012,cold_drug,train
1013,cold_drug,train
1014,cold_drug,train
1015,cold_drug,train
1016,cold_drug,train
1017,cold_drug,train
1018,cold_drug,train
1019,cold_drug,train
1020,cold_drug,train
1021,cold_drug,train
1022,cold_drug,train
1023,cold_drug,train
1024,cold_drug,train
1025,cold_drug,train
1026,cold_drug,train
1027,cold_drug,train
1028,cold_drug,train
1029,cold_drug,train
1030,cold_drug,train
1031,cold_drug,train
1032,cold_drug,train
1033,cold_drug,train
1034,cold_drug,train
1035,cold_drug,train
1036,cold_drug,train
1037,cold_drug,train
1038,cold_drug,train
1039,cold_drug,train
1040,cold_drug,train
1041,cold_drug,train
1042,cold_drug,train
1043,cold_drug,train
1044,cold_drug,train
1045,cold_drug,train
1046,cold_drug,train
1047,cold_drug,train
1048,cold_drug,train
1049,cold_drug,train
1050,cold_drug,train
1051,cold_drug,train
1052,cold_drug,train
1053,cold_drug,train
1054,cold_drug,train
1055,cold_drug,train
1056,cold_drug,train
1057,cold_drug,train
1058,cold_drug,train
1059,cold_drug,train
1060,cold_drug,train
1061,cold_drug,train
1062,cold_drug,train
1063,cold_drug,train
1064,cold_drug,train
1065,cold_drug,train
1066,cold_drug,train
1067,cold_drug,train
1068,cold_drug,train
1069,cold_drug,train
1070,cold_drug,train
1071,cold_drug,train
1072,cold_drug,train
1073,cold_drug,train
1074,cold_drug,train
1075,cold_drug,train
1076,cold_drug,train
1077,cold_drug,train
1078,cold_drug,train
1079,cold_drug,train
1080,cold_drug,train
1081,cold_drug,train
1082,cold_drug,train
1083,cold_drug,train
1084,cold_drug,train
1085,cold_drug,train
1086,cold_drug,train
1087,cold_drug,train
1088,cold_drug,train
1089,cold_drug,train
1090,cold_drug,train
1091,cold_drug,train
1092,cold_drug,train
1093,cold_drug,train
1094,cold_drug,train
1095,cold_drug,train
1096,cold_drug,train
1097,cold_drug,train
1098,cold_drug,train
1099,cold_drug,train
1100,cold_drug,train
1101,cold_drug,train
1102,cold_drug,train
1103,cold_drug,train
1104,cold_drug,train
1105,cold_drug,train
1106,cold_drug,train
1107,cold_drug,train
1108,cold_drug,train
1109,cold_drug,train
1110,cold_drug,train
1111,cold_drug,train
1112,cold_drug,train
1113,cold_drug,train
1114,cold_drug,train
1115,cold_drug,train
1116,cold_drug,train
1117,cold_drug,train
1118,cold_drug,train
1119,cold_drug,train
1120,cold_drug,train
1121,cold_drug,train
1122,cold_drug,train
1123,cold_drug,train
1124,cold_drug,train
1125,cold_drug,train
1126,cold_drug,train
1127,cold_drug,train
1128,cold_drug,train
1129,cold_drug,train
1130,cold_drug,train
1131,cold_drug,train
1132,cold_drug,train
1133,cold_drug,train
1134,cold_drug,train
1135,cold_drug,train
1136,cold_drug,train
1137,cold_drug,train
1138,cold_drug,train
1139,cold_drug,train
1140,cold_drug,train
1141,cold_drug,train
1142,cold_drug,train
1143,cold_drug,train
1144,cold_drug,train
1145,cold_drug,train
1146,cold_drug,train
1147,cold_drug,train
1148,cold_drug,train
1149,cold_drug,train
1150,cold_drug,train
1151,cold_drug,train
1152,cold_drug,train
1153,cold_drug,train
1154,cold_drug,train
1155,cold_drug,train
1156,cold_drug,train
1157,cold_drug,train
1158,cold_drug,train
1159,cold_drug,train
1160,cold_drug,train
1161,cold_drug,train
1162,cold_drug,train
1163,cold_drug,train
1164,cold_drug,train
1165,cold_drug,train
1166,cold_drug,train
1167,cold_drug,train
1168,cold_drug,train
1169,cold_drug,train
1170,cold_drug,train
1171,cold_drug,train
1172,cold_drug,train
1173,cold_drug,train
1174,cold_drug,train
1175,cold_drug,train
1176,cold_drug,train
1177,cold_drug,train
1178,cold_drug,train
1179,cold_drug,train
1180,cold_drug,train
1181,cold_drug,train
1182,cold_drug,train
1183,cold_drug,train
1184,cold_drug,train
1185,cold_drug,train
1186,cold_drug,train
1187,cold_drug,train
1188,cold_drug,train
1189,cold_drug,train
1190,cold_drug,train
1191,cold_drug,train
1192,cold_drug,train
1193,cold_drug,train
1194,cold_drug,train
1195,cold_drug,train
1196,cold_drug,train
1197,cold_drug,train
1198,cold_drug,train
1199,cold_drug,train
1200,cold_drug,train
1201,cold_drug,train
1202,cold_drug,train
1203,cold_drug,train
1204,cold_drug,train
1205,cold_drug,train
1206,cold_drug,train
1207,cold_drug,train
1208,cold_drug,train
1209,cold_drug,train
1210,cold_drug,train
1211,cold_drug,train
1212,cold_drug,train
1213,cold_drug,train
1214,cold_drug,train
1215,cold_drug,train
1216,cold_drug,train
1217,cold_drug,train
1218,cold_drug,train
1219,cold_drug,train
1220,cold_drug,train
1221,cold_drug,train
1222,cold_drug,train
1223,cold_drug,train
1224,cold_drug,train
1225,cold_drug,train
1226,cold_drug,train
1227,cold_drug,train
1228,cold_drug,train
1229,cold_drug,train
1230,cold_drug,train
1231,cold_drug,train
1232,cold_drug,train
1233,cold_drug,train
1234,cold_drug,train
1235,cold_drug,train
1236,cold_drug,train
1237,cold_drug,train
1238,cold_drug,train
1239,cold_drug,train
1240,cold_drug,train
1241,cold_drug,train
1242,cold_drug,train
1243,cold_drug,train
1244,cold_drug,train
1245,cold_drug,train
1246,cold_drug,train
1247,cold_drug,train
1248,cold_drug,train
1249,cold_drug,train
1250,cold_drug,train
1251,cold_drug,train
1252,cold_drug,train
1253,cold_drug,train
1254,cold_drug,train
1255,cold_drug,train
1256,cold_drug,train
1257,cold_drug,train
1258,cold_drug,train
1259,cold_drug,train
1260,cold_drug,train
1261,cold_drug,train
1262,cold_drug,train
1263,cold_drug,train
1264,cold_drug,train
1265,cold_drug,train
1266,cold_drug,train
1267,cold_drug,train
1268,cold_drug,train
1269,cold_drug,train
1270,cold_drug,train
1271,cold_drug,train
1272,cold_drug,train
1273,cold_drug,train
1274,cold_drug,train
1275,cold_drug,train
1276,cold_drug,train
1277,cold_drug,train
1278,cold_drug,train
1279,cold_drug,train
1280,cold_drug,train
1281,cold_drug,train
1282,cold_drug,train
1283,cold_drug,train
1284,cold_drug,train
1285,cold_drug,train
1286,cold_drug,train
1287,cold_drug,train
1288,cold_drug,train
1289,cold_drug,train
1290,cold_drug,train
1291,cold_drug,train
1292,cold_drug,train
1293,cold_drug,train
1294,cold_drug,train
1295,cold_drug,train
1296,cold_drug,train
1297,cold_drug,train
1298,cold_drug,train
1299,cold_drug,train
1300,cold_drug,train
1301,cold_drug,train
1302,cold_drug,train
1303,cold_drug,train
1304,cold_drug,train
1305,cold_drug,train
1306,cold_drug,train
1307,cold_drug,train
1308,cold_drug,train
1309,cold_drug,train
1310,cold_drug,train
1311,cold_drug,train
1312,cold_drug,train
1313,cold_drug,train
1314,cold_drug,train
1315,cold_drug,train
1316,cold_drug,train
1317,cold_drug,train
1318,cold_drug,train
1319,cold_drug,train
1320,cold_drug,train
1321,cold_drug,train
1322,cold_drug,train
1323,cold_drug,train
1324,cold_drug,train
1325,cold_drug,train
1326,cold_drug,train
1327,cold_drug,train
1328,cold_drug,train
1329,cold_drug,train
1330,cold_drug,train
1331,cold_drug,train
1332,cold_drug,train
1333,cold_drug,train
1334,cold_drug,train
1335,cold_drug,train
1336,cold_drug,train
1337,cold_drug,train
1338,cold_drug,train
1339,cold_drug,train
1340,cold_drug,train
1341,cold_drug,train
1342,cold_drug,train
1343,cold_drug,train
1344,cold_drug,train
1345,cold_drug,train
1346,cold_drug,train
1347,cold_drug,train
1348,cold_drug,train
1349,cold_drug,train
1350,cold_drug,train
1351,cold_drug,train
1352,cold_drug,train
1353,cold_drug,train
1354,cold_drug,train
1355,cold_drug,train
1356,cold_drug,train
1357,cold_drug,train
1358,cold_drug,train
1359,cold_drug,train
1360,cold_drug,train
1361,cold_drug,train
1362,cold_drug,train
1363,cold_drug,train
1364,cold_drug,train
1365,cold_drug,train
1366,cold_drug,train
1367,cold_drug,train
1368,cold_drug,train
1369,cold_drug,train
1370,cold_drug,train
1371,cold_drug,train
1372,cold_drug,train
1373,cold_drug,train
1374,cold_drug,train
1375,cold_drug,train
1376,cold_drug,train
1377,cold_drug,train
1378,cold_drug,train
1379,cold_drug,train
1380,cold_drug,train
1381,cold_drug,train
1382,cold_drug,train
1383,cold_drug,train
1384,cold_drug,train
1385,cold_drug,train
1386,cold_drug,train
1387,cold_drug,train
1388,cold_drug,train
1389,cold_drug,train
1390,cold_drug,train
1391,cold_drug,train
1392,cold_drug,train
1393,cold_drug,train
1394,cold_drug,train
1395,cold_drug,train
1396,cold_drug,train
1397,cold_drug,train
1398,cold_drug,train
1399,cold_drug,train
1400,cold_drug,train
1401,cold_drug,train
1402,cold_drug,train
1403,cold_drug,train
1404,cold_drug,train
1405,cold_drug,train
1406,cold_drug,train
1407,cold_drug,train
1408,cold_drug,train
1409,cold_drug,train
1410,cold_drug,train
1411,cold_drug,train
1412,cold_drug,train
1413,cold_drug,train
1414,cold_drug,train
1415,cold_drug,train
1416,cold_drug,train
1417,cold_drug,train
1418,cold_drug,train
1419,cold_drug,train
1420,cold_drug,train
1421,cold_drug,train
1422,cold_drug,train
1423,cold_drug,train
1424,cold_drug,train
1425,cold_drug,train
1426,cold_drug,train
1427,cold_drug,train
1428,cold_drug,train
1429,cold_drug,train
1430,cold_drug,train
1431,cold_drug,train
1432,cold_drug,train
1433,cold_drug,train
1434,cold_drug,train
1435,cold_drug,train
1436,cold_drug,train
1437,cold_drug,train
1438,cold_drug,train
1439,cold_drug,train
1440,cold_drug,train
1441,cold_drug,train
1442,cold_drug,train
1443,cold_drug,train
1444,cold_drug,train
1445,cold_drug,train
1446,cold_drug,train
1447,cold_drug,train
1448,cold_drug,train
1449,cold_drug,train
1450,cold_drug,train
1451,cold_drug,train
1452,cold_drug,train
1453,cold_drug,train
1454,cold_drug,train
1455,cold_drug,train
1456,cold_drug,train
1457,cold_drug,train
1458,cold_drug,train
1459,cold_drug,train
1460,cold_drug,train
1461,cold_drug,train
1462,cold_drug,train
1463,cold_drug,train
1464,cold_drug,train
1465,cold_drug,train
1466,cold_drug,train
1467,cold_drug,train
1468,cold_drug,train
1469,cold_drug,train
1470,cold_drug,train
1471,cold_drug,train
1472,cold_drug,train
1473,cold_drug,train
1474,cold_drug,train
1475,cold_drug,train
1476,cold_drug,train
1477,cold_drug,train
1478,cold_drug,train
1479,cold_drug,train
1480,cold_drug,train
1481,cold_drug,train
1482,cold_drug,train
1483,cold_drug,train
1484,cold_drug,train
1485,cold_drug,train
1486,cold_drug,train
1487,cold_drug,train
1488,cold_drug,train
1489,cold_drug,train
1490,cold_drug,train
1491,cold_drug,train
1492,cold_drug,train
1493,cold_drug,train
1494,cold_drug,train
1495,cold_drug,train
1496,cold_drug,train
1497,cold_drug,train
1498,cold_drug,train
1499,cold_drug,train
1500,cold_drug,train
1501,cold_drug,train
1502,cold_drug,train
1503,cold_drug,train
1504,cold_drug,train
1505,cold_drug,train
1506,cold_drug,train
1507,cold_drug,train
1508,cold_drug,train
1509,cold_drug,train
1510,cold_drug,train
1511,cold_drug,train
1512,cold_drug,train
1513,cold_drug,train
1514,cold_drug,train
1515,cold_drug,train
1516,cold_drug,train
1517,cold_drug,train
1518,cold_drug,train
1519,cold_drug,train
1520,cold_drug,train
1521,cold_drug,train
1522,cold_drug,train
1523,cold_drug,train
1524,cold_drug,train
1525,cold_drug,train
1526,cold_drug,train
1527,cold_drug,train
1528,cold_drug,train
1529,cold_drug,train
1530,cold_drug,train
1531,cold_drug,train
1532,cold_drug,train
1533,cold_drug,train
1534,cold_drug,train
1535,cold_drug,train
1536,cold_drug,train
1537,cold_drug,train
1538,cold_drug,train
1539,cold_drug,train
1540,cold_drug,train
1541,cold_drug,train
1542,cold_drug,train
1543,cold_drug,train
1544,cold_drug,train
1545,cold_drug,train
1546,cold_drug,train
1547,cold_drug,train
1548,cold_drug,train
1549,cold_drug,train
1550,cold_drug,train
1551,cold_drug,train
1552,cold_drug,train
1553,cold_drug,train
1554,cold_drug,train
1555,cold_drug,train
1556,cold_drug,train
1557,cold_drug,train
1558,cold_drug,train
1559,cold_drug,train
1560,cold_drug,train
1561,cold_drug,train
1562,cold_drug,train
1563,cold_drug,train
1564,cold_drug,train
1565,cold_drug,train
1566,cold_drug,train
1567,cold_drug,train
1568,cold_drug,train
1569,cold_drug,train
1570,cold_drug,train
1571,cold_drug,train
1572,cold_drug,train
1573,cold_drug,train
1574,cold_drug,train
1575,cold_drug,train
1576,cold_drug,train
1577,cold_drug,train
1578,cold_drug,train
1579,cold_drug,train
1580,cold_drug,train
1581,cold_drug,train
1582,cold_drug,train
1583,cold_drug,train
1584,cold_drug,train
1585,cold_drug,train
1586,cold_drug,train
1587,cold_drug,train
1588,cold_drug,train
1589,cold_drug,train
1590,cold_drug,train
1591,cold_drug,train
1592,cold_drug,train
1593,cold_drug,train
1594,cold_drug,train
1595,cold_drug,train
1596,cold_drug,train
1597,cold_drug,train
1598,cold_drug,train
1599,cold_drug,train
1600,cold_drug,train
1601,cold_drug,train
1602,cold_drug,train
1603,cold_drug,train
1604,cold_drug,train
1605,cold_drug,train
1606,cold_drug,train
1607,cold_drug,train
1608,cold_drug,train
1609,cold_drug,train
1610,cold_drug,train
1611,cold_drug,train
1612,cold_drug,train
1613,cold_drug,train
1614,cold_drug,train
1615,cold_drug,train
1616,cold_drug,train
1617,cold_drug,train
1618,cold_drug,train
1619,cold_drug,train
1620,cold_drug,train
1621,cold_drug,train
1622,cold_drug,train
1623,cold_drug,train
1624,cold_drug,train
1625,cold_drug,train
1626,cold_drug,train
1627,cold_drug,train
1628,cold_drug,train
1629,cold_drug,train
1630,cold_drug,train
1631,cold_drug,train
1632,cold_drug,train
1633,cold_drug,train
1634,cold_drug,train
1635,cold_drug,train
1636,cold_drug,train
1637,cold_drug,train
1638,cold_drug,train
1639,cold_drug,train
1640,cold_drug,train
1641,cold_drug,train
1642,cold_drug,train
1643,cold_drug,train
1644,cold_drug,train
1645,cold_drug,train
1646,cold_drug,train
1647,cold_drug,train
1648,cold_drug,train
1649,cold_drug,train
1650,cold_drug,train
1651,cold_drug,train
1652,cold_drug,train
1653,cold_drug,train
1654,cold_drug,train
1655,cold_drug,train
1656,cold_drug,train
1657,cold_drug,train
1658,cold_drug,train
1659,cold_drug,train
1660,cold_drug,train
1661,cold_drug,train
1662,cold_drug,train
1663,cold_drug,train
1664,cold_drug,train
1665,cold_drug,train
1666,cold_drug,train
1667,cold_drug,train
1668,cold_drug,train
1669,cold_drug,train
1670,cold_drug,train
1671,cold_drug,train
1672,cold_drug,train
1673,cold_drug,train
1674,cold_drug,train
1675,cold_drug,train
1676,cold_drug,train
1677,cold_drug,train
1678,cold_drug,train
1679,cold_drug,train
1680,cold_drug,train
1681,cold_drug,train
1682,cold_drug,train
1683,cold_drug,train
1684,cold_drug,train
1685,cold_drug,train
1686,cold_drug,train
1687,cold_drug,train
1688,cold_drug,train
1689,cold_drug,train
1690,cold_drug,train
1691,cold_drug,train
1692,cold_drug,train
1693,cold_drug,train
1694,cold_drug,train
1695,cold_drug,train
1696,cold_drug,train
1697,cold_drug,train
1698,cold_drug,train
1699,cold_drug,train
1700,cold_drug,train
1701,cold_drug,train
1702,cold_drug,train
1703,cold_drug,train
1704,cold_drug,train
1705,cold_drug,train
1706,cold_drug,train
1707,cold_drug,train
1708,cold_drug,train
1709,cold_drug,train
1710,cold_drug,train
1711,cold_drug,train
1712,cold_drug,train
1713,cold_drug,train
1714,cold_drug,train
1715,cold_drug,train
1716,cold_drug,train
1717,cold_drug,train
1718,cold_drug,train
1719,cold_drug,train
1720,cold_drug,train
1721,cold_drug,train
1722,cold_drug,train
1723,cold_drug,train
1724,cold_drug,train
1725,cold_drug,train
1726,cold_drug,train
1727,cold_drug,train
1728,cold_drug,train
1729,cold_drug,train
1730,cold_drug,train
1731,cold_drug,train
1732,cold_drug,train
1733,cold_drug,train
1734,cold_drug,train
1735,cold_drug,train
1736,cold_drug,train
1737,cold_drug,train
1738,cold_drug,train
1739,cold_drug,train
1740,cold_drug,train
1741,cold_drug,train
1742,cold_drug,train
1743,cold_drug,train
1744,cold_drug,train
1745,cold_drug,train
1746,cold_drug,train
1747,cold_drug,train
1748,cold_drug,train
1749,cold_drug,train
1750,cold_drug,train
1751,cold_drug,train
1752,cold_drug,train
1753,cold_drug,train
1754,cold_drug,train
1755,cold_drug,train
1756,cold_drug,train
1757,cold_drug,train
1758,cold_drug,train
1759,cold_drug,train
1760,cold_drug,train
1761,cold_drug,train
1762,cold_drug,train
